Id	Time	Plate	Row	Column	Clog	Sorted status	In Regions	TOF	Extinction	Green	Yellow	Red	PH Extinction	PW Extinction	PC Extinction	PH Green	PW Green	PC Green	PH Yellow	PW Yellow	PC Yellow	PH Red	PW Red	PC Red	
1	336859	n/a	A	1	N	0	00000101000	480	356	2.70	1.65	2.33	65532	480	n/a	1036	480	n/a	448	480	n/a	792	480	n/a	
2	336954	n/a	A	1	N	0	10000000000	138	29.9	0.51	0.39	0.41	27052	138	n/a	536	138	n/a	272	138	n/a	300	138	n/a	
3	337790	n/a	A	1	N	0	00000000000	40	1.20	0.11	0.11	0.11	2752	40	n/a	264	40	n/a	260	40	n/a	256	40	n/a	
4	337832	n/a	A	1	N	0	11010000000	280	71.0	8.25	1.06	3.47	32680	280	n/a	7012	280	n/a	472	280	n/a	2444	280	n/a	
5	337984	n/a	A	1	N	0	11010000100	264	61.6	11.8	1.14	2.65	27432	264	n/a	11084	264	n/a	580	264	n/a	5300	264	n/a	
6	338054	n/a	A	1	N	0	11010000100	492	55.8	11.0	1.85	6.03	12108	492	n/a	8652	492	n/a	572	492	n/a	6736	492	n/a	
7	338093	n/a	A	1	N	0	10000000000	346	45.1	5.42	1.20	5.10	28252	346	n/a	3996	346	n/a	344	346	n/a	4008	346	n/a	
8	338118	n/a	A	1	N	0	11010000100	448	79.5	12.8	1.80	8.13	18228	448	n/a	11232	448	n/a	572	448	n/a	6512	448	n/a	
9	338205	n/a	A	1	N	0	11010000000	164	38.1	7.80	0.89	7.10	34296	164	n/a	9688	164	n/a	848	164	n/a	12500	164	n/a	
10	338285	n/a	A	1	N	0	11010000000	394	67.6	7.14	1.42	5.67	20052	394	n/a	5804	394	n/a	532	394	n/a	7536	394	n/a	
11	338305	n/a	A	1	N	0	11000000000	398	20.8	5.61	1.35	6.25	6300	398	n/a	5140	398	n/a	420	398	n/a	5760	398	n/a	
12	338369	n/a	A	1	N	0	11010000000	212	39.1	7.19	0.87	4.14	21916	212	n/a	5216	212	n/a	460	212	n/a	8680	212	n/a	
